"RG","TG"
"CEBPE_STAT5B","CEBPE","STAT5B"
"BCL2A1_STAT5B","BCL2A1","STAT5B"
"CCNA2_STAT5B","CCNA2","STAT5B"
"CCNA1_STAT5B","CCNA1","STAT5B"
"MYC_STAT5B","MYC","STAT5B"
"DUSP6_STAT5B","DUSP6","STAT5B"
"JUP_STAT5B","JUP","STAT5B"
"TCF7L1_STAT5B","TCF7L1","STAT5B"
"LEF1_STAT5B","LEF1","STAT5B"
"CCND1_STAT5B","CCND1","STAT5B"
"PPARD_STAT5B","PPARD","STAT5B"
"FLT3_PIM1","FLT3","PIM1"
"PIK3CA_PIM1","PIK3CA","PIM1"
"PIK3CB_PIM1","PIK3CB","PIM1"
"PIK3R1_PIM1","PIK3R1","PIM1"
"PIK3R3_PIM1","PIK3R3","PIM1"
"P3R3URF.PIK3R3_PIM1","P3R3URF.PIK3R3","PIM1"
"AKT1_PIM1","AKT1","PIM1"
"AKT3_PIM1","AKT3","PIM1"
"CHUK_PIM1","CHUK","PIM1"
"IKBKB_PIM1","IKBKB","PIM1"
"IKBKG_PIM1","IKBKG","PIM1"
"NFKB1_PIM1","NFKB1","PIM1"
"RELA_PIM1","RELA","PIM1"
"BAD_PIM1","BAD","PIM1"
"MTOR_PIM1","MTOR","PIM1"
"EIF4EBP1_PIM1","EIF4EBP1","PIM1"
"SOS1_PIM1","SOS1","PIM1"
"SOS2_PIM1","SOS2","PIM1"
"HRAS_PIM1","HRAS","PIM1"
"ARAF_PIM1","ARAF","PIM1"
"RAF1_PIM1","RAF1","PIM1"
"MAPK1_PIM1","MAPK1","PIM1"
"MAPK3_PIM1","MAPK3","PIM1"
"STAT3_PIM1","STAT3","PIM1"
"STAT5A_PIM1","STAT5A","PIM1"
"STAT5B_PIM1","STAT5B","PIM1"
"PIM2_PIM1","PIM2","PIM1"
"MPO_PIM1","MPO","PIM1"
"IL3_PIM1","IL3","PIM1"
"RUNX1T1_PIM1","RUNX1T1","PIM1"
"PML_PIM1","PML","PIM1"
"RARA_PIM1","RARA","PIM1"
"ZBTB16_PIM1","ZBTB16","PIM1"
"PER2_PIM1","PER2","PIM1"
"SPI1_PIM1","SPI1","PIM1"
"ITGAM_PIM1","ITGAM","PIM1"
"FCGR1A_PIM1","FCGR1A","PIM1"
"CEBPE_PIM1","CEBPE","PIM1"
"BCL2A1_PIM1","BCL2A1","PIM1"
"CCNA2_PIM1","CCNA2","PIM1"
"CCNA1_PIM1","CCNA1","PIM1"
"DUSP6_PIM1","DUSP6","PIM1"
"JUP_PIM1","JUP","PIM1"
"TCF7_PIM1","TCF7","PIM1"
"TCF7L1_PIM1","TCF7L1","PIM1"
"LEF1_PIM1","LEF1","PIM1"
"CCND1_PIM1","CCND1","PIM1"
"PPARD_PIM1","PPARD","PIM1"
"KIT_PIM2","KIT","PIM2"
"FLT3_PIM2","FLT3","PIM2"
"PIK3CA_PIM2","PIK3CA","PIM2"
"PIK3CB_PIM2","PIK3CB","PIM2"
"PIK3R1_PIM2","PIK3R1","PIM2"
"PIK3R2_PIM2","PIK3R2","PIM2"
"P3R3URF.PIK3R3_PIM2","P3R3URF.PIK3R3","PIM2"
"AKT1_PIM2","AKT1","PIM2"
"AKT2_PIM2","AKT2","PIM2"
"AKT3_PIM2","AKT3","PIM2"
"CHUK_PIM2","CHUK","PIM2"
"IKBKB_PIM2","IKBKB","PIM2"
"IKBKG_PIM2","IKBKG","PIM2"
"NFKB1_PIM2","NFKB1","PIM2"
"BAD_PIM2","BAD","PIM2"
"MTOR_PIM2","MTOR","PIM2"
"EIF4EBP1_PIM2","EIF4EBP1","PIM2"
"RPS6KB2_PIM2","RPS6KB2","PIM2"
"GRB2_PIM2","GRB2","PIM2"
"SOS1_PIM2","SOS1","PIM2"
"HRAS_PIM2","HRAS","PIM2"
"ARAF_PIM2","ARAF","PIM2"
"BRAF_PIM2","BRAF","PIM2"
"RAF1_PIM2","RAF1","PIM2"
"MAP2K1_PIM2","MAP2K1","PIM2"
"MAP2K2_PIM2","MAP2K2","PIM2"
"MAPK1_PIM2","MAPK1","PIM2"
"STAT3_PIM2","STAT3","PIM2"
"PIM1_PIM2","PIM1","PIM2"
"CSF1R_PIM2","CSF1R","PIM2"
"MPO_PIM2","MPO","PIM2"
"CSF2_PIM2","CSF2","PIM2"
"IL3_PIM2","IL3","PIM2"
"RUNX1T1_PIM2","RUNX1T1","PIM2"
"RARA_PIM2","RARA","PIM2"
"ZBTB16_PIM2","ZBTB16","PIM2"
"PER2_PIM2","PER2","PIM2"
"SPI1_PIM2","SPI1","PIM2"
"CD14_PIM2","CD14","PIM2"
"ITGAM_PIM2","ITGAM","PIM2"
"CEBPE_PIM2","CEBPE","PIM2"
"CCNA2_PIM2","CCNA2","PIM2"
"CCNA1_PIM2","CCNA1","PIM2"
"MYC_PIM2","MYC","PIM2"
"DUSP6_PIM2","DUSP6","PIM2"
"JUP_PIM2","JUP","PIM2"
"TCF7_PIM2","TCF7","PIM2"
"TCF7L1_PIM2","TCF7L1","PIM2"
"TCF7L2_PIM2","TCF7L2","PIM2"
"LEF1_PIM2","LEF1","PIM2"
"CCND1_PIM2","CCND1","PIM2"
"PPARD_PIM2","PPARD","PIM2"
"FLT3_CSF1R","FLT3","CSF1R"
"PIK3CD_CSF1R","PIK3CD","CSF1R"
"PIK3R1_CSF1R","PIK3R1","CSF1R"
"PIK3R3_CSF1R","PIK3R3","CSF1R"
"CHUK_CSF1R","CHUK","CSF1R"
"IKBKB_CSF1R","IKBKB","CSF1R"
"IKBKG_CSF1R","IKBKG","CSF1R"
"EIF4EBP1_CSF1R","EIF4EBP1","CSF1R"
"SOS1_CSF1R","SOS1","CSF1R"
"ARAF_CSF1R","ARAF","CSF1R"
"STAT3_CSF1R","STAT3","CSF1R"
"PIM2_CSF1R","PIM2","CSF1R"
"CSF2_CSF1R","CSF2","CSF1R"
"PML_CSF1R","PML","CSF1R"
"RARA_CSF1R","RARA","CSF1R"
"ZBTB16_CSF1R","ZBTB16","CSF1R"
"CD14_CSF1R","CD14","CSF1R"
"ITGAM_CSF1R","ITGAM","CSF1R"
"FCGR1A_CSF1R","FCGR1A","CSF1R"
"CEBPE_CSF1R","CEBPE","CSF1R"
"BCL2A1_CSF1R","BCL2A1","CSF1R"
"MYC_CSF1R","MYC","CSF1R"
"DUSP6_CSF1R","DUSP6","CSF1R"
"JUP_CSF1R","JUP","CSF1R"
"TCF7_CSF1R","TCF7","CSF1R"
"TCF7L1_CSF1R","TCF7L1","CSF1R"
"LEF1_CSF1R","LEF1","CSF1R"
"CCND1_CSF1R","CCND1","CSF1R"
"PPARD_CSF1R","PPARD","CSF1R"
"KIT_MPO","KIT","MPO"
"FLT3_MPO","FLT3","MPO"
"PIK3CD_MPO","PIK3CD","MPO"
"PIK3CB_MPO","PIK3CB","MPO"
"PIK3R1_MPO","PIK3R1","MPO"
"PIK3R2_MPO","PIK3R2","MPO"
"CHUK_MPO","CHUK","MPO"
"IKBKB_MPO","IKBKB","MPO"
"MAP2K2_MPO","MAP2K2","MPO"
"MAPK1_MPO","MAPK1","MPO"
"MAPK3_MPO","MAPK3","MPO"
"PIM1_MPO","PIM1","MPO"
"PIM2_MPO","PIM2","MPO"
"IL3_MPO","IL3","MPO"
"RUNX1T1_MPO","RUNX1T1","MPO"
"RARA_MPO","RARA","MPO"
"ZBTB16_MPO","ZBTB16","MPO"
"SPI1_MPO","SPI1","MPO"
"ITGAM_MPO","ITGAM","MPO"
"FCGR1A_MPO","FCGR1A","MPO"
"CEBPE_MPO","CEBPE","MPO"
"DUSP6_MPO","DUSP6","MPO"
"TCF7_MPO","TCF7","MPO"
"TCF7L2_MPO","TCF7L2","MPO"
"LEF1_MPO","LEF1","MPO"
"PPARD_MPO","PPARD","MPO"
"KIT_CSF2","KIT","CSF2"
"FLT3_CSF2","FLT3","CSF2"
"PIK3CA_CSF2","PIK3CA","CSF2"
"PIK3CD_CSF2","PIK3CD","CSF2"
"PIK3R1_CSF2","PIK3R1","CSF2"
"PIK3R2_CSF2","PIK3R2","CSF2"
"PIK3R3_CSF2","PIK3R3","CSF2"
"AKT2_CSF2","AKT2","CSF2"
"AKT3_CSF2","AKT3","CSF2"
"IKBKB_CSF2","IKBKB","CSF2"
"IKBKG_CSF2","IKBKG","CSF2"
"NFKB1_CSF2","NFKB1","CSF2"
"RELA_CSF2","RELA","CSF2"
"MTOR_CSF2","MTOR","CSF2"
"EIF4EBP1_CSF2","EIF4EBP1","CSF2"
"RPS6KB1_CSF2","RPS6KB1","CSF2"
"RPS6KB2_CSF2","RPS6KB2","CSF2"
"GRB2_CSF2","GRB2","CSF2"
"SOS1_CSF2","SOS1","CSF2"
"HRAS_CSF2","HRAS","CSF2"
"BRAF_CSF2","BRAF","CSF2"
"RAF1_CSF2","RAF1","CSF2"
"MAP2K1_CSF2","MAP2K1","CSF2"
"MAP2K2_CSF2","MAP2K2","CSF2"
"MAPK1_CSF2","MAPK1","CSF2"
"MAPK3_CSF2","MAPK3","CSF2"
"STAT5B_CSF2","STAT5B","CSF2"
"CSF1R_CSF2","CSF1R","CSF2"
"IL3_CSF2","IL3","CSF2"
"PML_CSF2","PML","CSF2"
"ZBTB16_CSF2","ZBTB16","CSF2"
"PER2_CSF2","PER2","CSF2"
"SPI1_CSF2","SPI1","CSF2"
"CD14_CSF2","CD14","CSF2"
"ITGAM_CSF2","ITGAM","CSF2"
"CEBPE_CSF2","CEBPE","CSF2"
"BCL2A1_CSF2","BCL2A1","CSF2"
"CCNA2_CSF2","CCNA2","CSF2"
"CCNA1_CSF2","CCNA1","CSF2"
"MYC_CSF2","MYC","CSF2"
"DUSP6_CSF2","DUSP6","CSF2"
"JUP_CSF2","JUP","CSF2"
"TCF7_CSF2","TCF7","CSF2"
"TCF7L1_CSF2","TCF7L1","CSF2"
"TCF7L2_CSF2","TCF7L2","CSF2"
"LEF1_CSF2","LEF1","CSF2"
"CCND1_CSF2","CCND1","CSF2"
"PPARD_CSF2","PPARD","CSF2"
"PIK3CB_IL3","PIK3CB","IL3"
"P3R3URF.PIK3R3_IL3","P3R3URF.PIK3R3","IL3"
"RELA_IL3","RELA","IL3"
"MTOR_IL3","MTOR","IL3"
"EIF4EBP1_IL3","EIF4EBP1","IL3"
"RPS6KB1_IL3","RPS6KB1","IL3"
"GRB2_IL3","GRB2","IL3"
"SOS1_IL3","SOS1","IL3"
"SOS2_IL3","SOS2","IL3"
"MAPK3_IL3","MAPK3","IL3"
"STAT3_IL3","STAT3","IL3"
"STAT5A_IL3","STAT5A","IL3"
"STAT5B_IL3","STAT5B","IL3"
"PIM2_IL3","PIM2","IL3"
"CSF2_IL3","CSF2","IL3"
"SPI1_IL3","SPI1","IL3"
"CEBPE_IL3","CEBPE","IL3"
"DUSP6_IL3","DUSP6","IL3"
"JUP_IL3","JUP","IL3"
"CCND1_IL3","CCND1","IL3"
"PPARD_IL3","PPARD","IL3"
"KIT_RUNX1T1","KIT","RUNX1T1"
"FLT3_RUNX1T1","FLT3","RUNX1T1"
"PIK3CA_RUNX1T1","PIK3CA","RUNX1T1"
"PIK3CD_RUNX1T1","PIK3CD","RUNX1T1"
"PIK3CB_RUNX1T1","PIK3CB","RUNX1T1"
"PIK3R1_RUNX1T1","PIK3R1","RUNX1T1"
"PIK3R2_RUNX1T1","PIK3R2","RUNX1T1"
"AKT2_RUNX1T1","AKT2","RUNX1T1"
"AKT3_RUNX1T1","AKT3","RUNX1T1"
"CHUK_RUNX1T1","CHUK","RUNX1T1"
"IKBKB_RUNX1T1","IKBKB","RUNX1T1"
"IKBKG_RUNX1T1","IKBKG","RUNX1T1"
"NFKB1_RUNX1T1","NFKB1","RUNX1T1"
"RELA_RUNX1T1","RELA","RUNX1T1"
"MTOR_RUNX1T1","MTOR","RUNX1T1"
"EIF4EBP1_RUNX1T1","EIF4EBP1","RUNX1T1"
"RPS6KB1_RUNX1T1","RPS6KB1","RUNX1T1"
"GRB2_RUNX1T1","GRB2","RUNX1T1"
"SOS1_RUNX1T1","SOS1","RUNX1T1"
"SOS2_RUNX1T1","SOS2","RUNX1T1"
"BRAF_RUNX1T1","BRAF","RUNX1T1"
"MAP2K2_RUNX1T1","MAP2K2","RUNX1T1"
"MAPK3_RUNX1T1","MAPK3","RUNX1T1"
"STAT5B_RUNX1T1","STAT5B","RUNX1T1"
"PIM1_RUNX1T1","PIM1","RUNX1T1"
"CSF1R_RUNX1T1","CSF1R","RUNX1T1"
"MPO_RUNX1T1","MPO","RUNX1T1"
"PML_RUNX1T1","PML","RUNX1T1"
"RARA_RUNX1T1","RARA","RUNX1T1"
"ZBTB16_RUNX1T1","ZBTB16","RUNX1T1"
"PER2_RUNX1T1","PER2","RUNX1T1"
"SPI1_RUNX1T1","SPI1","RUNX1T1"
"ITGAM_RUNX1T1","ITGAM","RUNX1T1"
"BCL2A1_RUNX1T1","BCL2A1","RUNX1T1"
"CCNA1_RUNX1T1","CCNA1","RUNX1T1"
"MYC_RUNX1T1","MYC","RUNX1T1"
"DUSP6_RUNX1T1","DUSP6","RUNX1T1"
"JUP_RUNX1T1","JUP","RUNX1T1"
"TCF7_RUNX1T1","TCF7","RUNX1T1"
"TCF7L1_RUNX1T1","TCF7L1","RUNX1T1"
"TCF7L2_RUNX1T1","TCF7L2","RUNX1T1"
"CCND1_RUNX1T1","CCND1","RUNX1T1"
"PPARD_RUNX1T1","PPARD","RUNX1T1"
"KIT_PML","KIT","PML"
"PIK3CA_PML","PIK3CA","PML"
"PIK3CD_PML","PIK3CD","PML"
"PIK3CB_PML","PIK3CB","PML"
"PIK3R1_PML","PIK3R1","PML"
"PIK3R3_PML","PIK3R3","PML"
"P3R3URF.PIK3R3_PML","P3R3URF.PIK3R3","PML"
"AKT1_PML","AKT1","PML"
"AKT2_PML","AKT2","PML"
"AKT3_PML","AKT3","PML"
"CHUK_PML","CHUK","PML"
"IKBKB_PML","IKBKB","PML"
"IKBKG_PML","IKBKG","PML"
"NFKB1_PML","NFKB1","PML"
"RELA_PML","RELA","PML"
"BAD_PML","BAD","PML"
"MTOR_PML","MTOR","PML"
"EIF4EBP1_PML","EIF4EBP1","PML"
"RPS6KB1_PML","RPS6KB1","PML"
"RPS6KB2_PML","RPS6KB2","PML"
"GRB2_PML","GRB2","PML"
"SOS1_PML","SOS1","PML"
"SOS2_PML","SOS2","PML"
"HRAS_PML","HRAS","PML"
"ARAF_PML","ARAF","PML"
"BRAF_PML","BRAF","PML"
"RAF1_PML","RAF1","PML"
"MAP2K1_PML","MAP2K1","PML"
"MAP2K2_PML","MAP2K2","PML"
"MAPK1_PML","MAPK1","PML"
"MAPK3_PML","MAPK3","PML"
"STAT3_PML","STAT3","PML"
"STAT5A_PML","STAT5A","PML"
"STAT5B_PML","STAT5B","PML"
"PIM1_PML","PIM1","PML"
"PIM2_PML","PIM2","PML"
"CSF1R_PML","CSF1R","PML"
"MPO_PML","MPO","PML"
"CSF2_PML","CSF2","PML"
"IL3_PML","IL3","PML"
"RUNX1T1_PML","RUNX1T1","PML"
"RARA_PML","RARA","PML"
"PER2_PML","PER2","PML"
"SPI1_PML","SPI1","PML"
"CD14_PML","CD14","PML"
"ITGAM_PML","ITGAM","PML"
"FCGR1A_PML","FCGR1A","PML"
"CEBPE_PML","CEBPE","PML"
"CCNA2_PML","CCNA2","PML"
"CCNA1_PML","CCNA1","PML"
"JUP_PML","JUP","PML"
"TCF7_PML","TCF7","PML"
"TCF7L2_PML","TCF7L2","PML"
"PPARD_PML","PPARD","PML"
"FLT3_RARA","FLT3","RARA"
"PIK3CD_RARA","PIK3CD","RARA"
"PIK3CB_RARA","PIK3CB","RARA"
"PIK3R1_RARA","PIK3R1","RARA"
"PIK3R3_RARA","PIK3R3","RARA"
"AKT1_RARA","AKT1","RARA"
"AKT2_RARA","AKT2","RARA"
"AKT3_RARA","AKT3","RARA"
"CHUK_RARA","CHUK","RARA"
"IKBKG_RARA","IKBKG","RARA"
"NFKB1_RARA","NFKB1","RARA"
"BAD_RARA","BAD","RARA"
"MTOR_RARA","MTOR","RARA"
"EIF4EBP1_RARA","EIF4EBP1","RARA"
"RPS6KB1_RARA","RPS6KB1","RARA"
"GRB2_RARA","GRB2","RARA"
"HRAS_RARA","HRAS","RARA"
"ARAF_RARA","ARAF","RARA"
"RAF1_RARA","RAF1","RARA"
"MAP2K1_RARA","MAP2K1","RARA"
"MAP2K2_RARA","MAP2K2","RARA"
"MAPK1_RARA","MAPK1","RARA"
"MAPK3_RARA","MAPK3","RARA"
"STAT3_RARA","STAT3","RARA"
"STAT5B_RARA","STAT5B","RARA"
"PIM1_RARA","PIM1","RARA"
"PIM2_RARA","PIM2","RARA"
"CSF1R_RARA","CSF1R","RARA"
"MPO_RARA","MPO","RARA"
"IL3_RARA","IL3","RARA"
"RUNX1T1_RARA","RUNX1T1","RARA"
"PML_RARA","PML","RARA"
"PER2_RARA","PER2","RARA"
"CD14_RARA","CD14","RARA"
"ITGAM_RARA","ITGAM","RARA"
"FCGR1A_RARA","FCGR1A","RARA"
"CEBPE_RARA","CEBPE","RARA"
"BCL2A1_RARA","BCL2A1","RARA"
"CCNA2_RARA","CCNA2","RARA"
"CCNA1_RARA","CCNA1","RARA"
"MYC_RARA","MYC","RARA"
"JUP_RARA","JUP","RARA"
"TCF7_RARA","TCF7","RARA"
"TCF7L1_RARA","TCF7L1","RARA"
"TCF7L2_RARA","TCF7L2","RARA"
"CCND1_RARA","CCND1","RARA"
"PPARD_RARA","PPARD","RARA"
"KIT_ZBTB16","KIT","ZBTB16"
"FLT3_ZBTB16","FLT3","ZBTB16"
"PIK3R1_ZBTB16","PIK3R1","ZBTB16"
"PIK3R2_ZBTB16","PIK3R2","ZBTB16"
"AKT1_ZBTB16","AKT1","ZBTB16"
"AKT2_ZBTB16","AKT2","ZBTB16"
"AKT3_ZBTB16","AKT3","ZBTB16"
"IKBKB_ZBTB16","IKBKB","ZBTB16"
"IKBKG_ZBTB16","IKBKG","ZBTB16"
"NFKB1_ZBTB16","NFKB1","ZBTB16"
"MTOR_ZBTB16","MTOR","ZBTB16"
"EIF4EBP1_ZBTB16","EIF4EBP1","ZBTB16"
"RPS6KB1_ZBTB16","RPS6KB1","ZBTB16"
"RPS6KB2_ZBTB16","RPS6KB2","ZBTB16"
"GRB2_ZBTB16","GRB2","ZBTB16"
"SOS1_ZBTB16","SOS1","ZBTB16"
"MAP2K2_ZBTB16","MAP2K2","ZBTB16"
"MAPK3_ZBTB16","MAPK3","ZBTB16"
"STAT5A_ZBTB16","STAT5A","ZBTB16"
"PIM1_ZBTB16","PIM1","ZBTB16"
"PIM2_ZBTB16","PIM2","ZBTB16"
"CSF1R_ZBTB16","CSF1R","ZBTB16"
"MPO_ZBTB16","MPO","ZBTB16"
"CSF2_ZBTB16","CSF2","ZBTB16"
"IL3_ZBTB16","IL3","ZBTB16"
"RUNX1T1_ZBTB16","RUNX1T1","ZBTB16"
"PER2_ZBTB16","PER2","ZBTB16"
"SPI1_ZBTB16","SPI1","ZBTB16"
"ITGAM_ZBTB16","ITGAM","ZBTB16"
"FCGR1A_ZBTB16","FCGR1A","ZBTB16"
"CEBPE_ZBTB16","CEBPE","ZBTB16"
"BCL2A1_ZBTB16","BCL2A1","ZBTB16"
"CCNA2_ZBTB16","CCNA2","ZBTB16"
"CCNA1_ZBTB16","CCNA1","ZBTB16"
"MYC_ZBTB16","MYC","ZBTB16"
"DUSP6_ZBTB16","DUSP6","ZBTB16"
"TCF7_ZBTB16","TCF7","ZBTB16"
"TCF7L1_ZBTB16","TCF7L1","ZBTB16"
"PPARD_ZBTB16","PPARD","ZBTB16"
"KIT_PER2","KIT","PER2"
"PIK3CA_PER2","PIK3CA","PER2"
"PIK3CD_PER2","PIK3CD","PER2"
"PIK3CB_PER2","PIK3CB","PER2"
"PIK3R1_PER2","PIK3R1","PER2"
"PIK3R2_PER2","PIK3R2","PER2"
"PIK3R3_PER2","PIK3R3","PER2"
"P3R3URF.PIK3R3_PER2","P3R3URF.PIK3R3","PER2"
"AKT1_PER2","AKT1","PER2"
"AKT2_PER2","AKT2","PER2"
"AKT3_PER2","AKT3","PER2"
"CHUK_PER2","CHUK","PER2"
"IKBKB_PER2","IKBKB","PER2"
"IKBKG_PER2","IKBKG","PER2"
"NFKB1_PER2","NFKB1","PER2"
"RELA_PER2","RELA","PER2"
"BAD_PER2","BAD","PER2"
"EIF4EBP1_PER2","EIF4EBP1","PER2"
"RPS6KB1_PER2","RPS6KB1","PER2"
"RPS6KB2_PER2","RPS6KB2","PER2"
"GRB2_PER2","GRB2","PER2"
"SOS1_PER2","SOS1","PER2"
"SOS2_PER2","SOS2","PER2"
"HRAS_PER2","HRAS","PER2"
"BRAF_PER2","BRAF","PER2"
"RAF1_PER2","RAF1","PER2"
"MAP2K1_PER2","MAP2K1","PER2"
"MAP2K2_PER2","MAP2K2","PER2"
"STAT3_PER2","STAT3","PER2"
"STAT5A_PER2","STAT5A","PER2"
"STAT5B_PER2","STAT5B","PER2"
"PIM1_PER2","PIM1","PER2"
"PIM2_PER2","PIM2","PER2"
"MPO_PER2","MPO","PER2"
"CSF2_PER2","CSF2","PER2"
"IL3_PER2","IL3","PER2"
"RUNX1T1_PER2","RUNX1T1","PER2"
"PML_PER2","PML","PER2"
"RARA_PER2","RARA","PER2"
"ZBTB16_PER2","ZBTB16","PER2"
"SPI1_PER2","SPI1","PER2"
"CD14_PER2","CD14","PER2"
"ITGAM_PER2","ITGAM","PER2"
"FCGR1A_PER2","FCGR1A","PER2"
"CEBPE_PER2","CEBPE","PER2"
"BCL2A1_PER2","BCL2A1","PER2"
"CCNA2_PER2","CCNA2","PER2"
"CCNA1_PER2","CCNA1","PER2"
"MYC_PER2","MYC","PER2"
"DUSP6_PER2","DUSP6","PER2"
"JUP_PER2","JUP","PER2"
"TCF7_PER2","TCF7","PER2"
"TCF7L1_PER2","TCF7L1","PER2"
"TCF7L2_PER2","TCF7L2","PER2"
"LEF1_PER2","LEF1","PER2"
"CCND1_PER2","CCND1","PER2"
"PPARD_PER2","PPARD","PER2"
"KIT_SPI1","KIT","SPI1"
"FLT3_SPI1","FLT3","SPI1"
"PIK3CA_SPI1","PIK3CA","SPI1"
"PIK3CD_SPI1","PIK3CD","SPI1"
"PIK3CB_SPI1","PIK3CB","SPI1"
"PIK3R1_SPI1","PIK3R1","SPI1"
"PIK3R2_SPI1","PIK3R2","SPI1"
"PIK3R3_SPI1","PIK3R3","SPI1"
"P3R3URF.PIK3R3_SPI1","P3R3URF.PIK3R3","SPI1"
"AKT1_SPI1","AKT1","SPI1"
"AKT2_SPI1","AKT2","SPI1"
"AKT3_SPI1","AKT3","SPI1"
"CHUK_SPI1","CHUK","SPI1"
"IKBKG_SPI1","IKBKG","SPI1"
"NFKB1_SPI1","NFKB1","SPI1"
"RELA_SPI1","RELA","SPI1"
"BAD_SPI1","BAD","SPI1"
"MTOR_SPI1","MTOR","SPI1"
"RPS6KB1_SPI1","RPS6KB1","SPI1"
"GRB2_SPI1","GRB2","SPI1"
"HRAS_SPI1","HRAS","SPI1"
"ARAF_SPI1","ARAF","SPI1"
"BRAF_SPI1","BRAF","SPI1"
"MAP2K2_SPI1","MAP2K2","SPI1"
"MAPK3_SPI1","MAPK3","SPI1"
"STAT3_SPI1","STAT3","SPI1"
"STAT5A_SPI1","STAT5A","SPI1"
"STAT5B_SPI1","STAT5B","SPI1"
"PIM1_SPI1","PIM1","SPI1"
"PIM2_SPI1","PIM2","SPI1"
"CSF1R_SPI1","CSF1R","SPI1"
"MPO_SPI1","MPO","SPI1"
"CSF2_SPI1","CSF2","SPI1"
"IL3_SPI1","IL3","SPI1"
"RUNX1T1_SPI1","RUNX1T1","SPI1"
"PML_SPI1","PML","SPI1"
"ZBTB16_SPI1","ZBTB16","SPI1"
"PER2_SPI1","PER2","SPI1"
"CD14_SPI1","CD14","SPI1"
"ITGAM_SPI1","ITGAM","SPI1"
"FCGR1A_SPI1","FCGR1A","SPI1"
"CEBPE_SPI1","CEBPE","SPI1"
"BCL2A1_SPI1","BCL2A1","SPI1"
"CCNA2_SPI1","CCNA2","SPI1"
"CCNA1_SPI1","CCNA1","SPI1"
"MYC_SPI1","MYC","SPI1"
"DUSP6_SPI1","DUSP6","SPI1"
"JUP_SPI1","JUP","SPI1"
"TCF7_SPI1","TCF7","SPI1"
"TCF7L1_SPI1","TCF7L1","SPI1"
"TCF7L2_SPI1","TCF7L2","SPI1"
"CCND1_SPI1","CCND1","SPI1"
"KIT_CD14","KIT","CD14"
"PIK3CD_CD14","PIK3CD","CD14"
"PIK3R1_CD14","PIK3R1","CD14"
"PIK3R2_CD14","PIK3R2","CD14"
"PIK3R3_CD14","PIK3R3","CD14"
"P3R3URF.PIK3R3_CD14","P3R3URF.PIK3R3","CD14"
"AKT1_CD14","AKT1","CD14"
"AKT2_CD14","AKT2","CD14"
"AKT3_CD14","AKT3","CD14"
"CHUK_CD14","CHUK","CD14"
"IKBKB_CD14","IKBKB","CD14"
"IKBKG_CD14","IKBKG","CD14"
"RELA_CD14","RELA","CD14"
"MTOR_CD14","MTOR","CD14"
"EIF4EBP1_CD14","EIF4EBP1","CD14"
"RPS6KB2_CD14","RPS6KB2","CD14"
"GRB2_CD14","GRB2","CD14"
"SOS1_CD14","SOS1","CD14"
"SOS2_CD14","SOS2","CD14"
"HRAS_CD14","HRAS","CD14"
"ARAF_CD14","ARAF","CD14"
"BRAF_CD14","BRAF","CD14"
"RAF1_CD14","RAF1","CD14"
"MAP2K1_CD14","MAP2K1","CD14"
"MAP2K2_CD14","MAP2K2","CD14"
"MAPK1_CD14","MAPK1","CD14"
"MAPK3_CD14","MAPK3","CD14"
"STAT3_CD14","STAT3","CD14"
"STAT5A_CD14","STAT5A","CD14"
"STAT5B_CD14","STAT5B","CD14"
"PIM2_CD14","PIM2","CD14"
"CSF1R_CD14","CSF1R","CD14"
"CSF2_CD14","CSF2","CD14"
"IL3_CD14","IL3","CD14"
"PML_CD14","PML","CD14"
"RARA_CD14","RARA","CD14"
"PER2_CD14","PER2","CD14"
"SPI1_CD14","SPI1","CD14"
"ITGAM_CD14","ITGAM","CD14"
"FCGR1A_CD14","FCGR1A","CD14"
"CEBPE_CD14","CEBPE","CD14"
"CCNA2_CD14","CCNA2","CD14"
"CCNA1_CD14","CCNA1","CD14"
"MYC_CD14","MYC","CD14"
"DUSP6_CD14","DUSP6","CD14"
"JUP_CD14","JUP","CD14"
"TCF7_CD14","TCF7","CD14"
"TCF7L1_CD14","TCF7L1","CD14"
"TCF7L2_CD14","TCF7L2","CD14"
"LEF1_CD14","LEF1","CD14"
"CCND1_CD14","CCND1","CD14"
"PPARD_CD14","PPARD","CD14"
"KIT_ITGAM","KIT","ITGAM"
"PIK3CB_ITGAM","PIK3CB","ITGAM"
"PIK3R1_ITGAM","PIK3R1","ITGAM"
"PIK3R2_ITGAM","PIK3R2","ITGAM"
"PIK3R3_ITGAM","PIK3R3","ITGAM"
"CHUK_ITGAM","CHUK","ITGAM"
"IKBKB_ITGAM","IKBKB","ITGAM"
"IKBKG_ITGAM","IKBKG","ITGAM"
"NFKB1_ITGAM","NFKB1","ITGAM"
"BAD_ITGAM","BAD","ITGAM"
"MTOR_ITGAM","MTOR","ITGAM"
"RPS6KB2_ITGAM","RPS6KB2","ITGAM"
"SOS1_ITGAM","SOS1","ITGAM"
"SOS2_ITGAM","SOS2","ITGAM"
"HRAS_ITGAM","HRAS","ITGAM"
"BRAF_ITGAM","BRAF","ITGAM"
"MAPK1_ITGAM","MAPK1","ITGAM"
"STAT3_ITGAM","STAT3","ITGAM"
"STAT5A_ITGAM","STAT5A","ITGAM"
"STAT5B_ITGAM","STAT5B","ITGAM"
